Price,Year,Mileage,City,State,Vin,Make,Model,Year
8400,80000,51826,Sarasota, FL,KMHDC8AE3CU143891,Hyundai,Elantra,2012
9230,80000,52185,Fredericksburg, VA,KMHDB8AEXCU128954,Hyundai,Elantra,2012
9491,90000,24242,San Rafael, CA,KMHDC8AE7BU111296,Hyundai,Elantra,2011
10131,80000,27669,Cocoa, FL,KMHDB8AE2CU145957,Hyundai,Elantra,2012
10800,80000,18354,Joliet, IL,KMHDC8AE1CU146613,Hyundai,Elantra,2012
7975,90000,40970,Keller, TX,KMHDB8AE5BU111350,Hyundai,Elantra,2011
9938,80000,36616,Norwood, MA,KMHDC8AE1CU146532,Hyundai,Elantra,2012
8900,80000,44213,St. Petersburg, FL,KMHDC8AE4CU139199,Hyundai,Elantra,2012
7899,80000,60039,North Palm Beach, FL,KMHDC8AE9CU129266,Hyundai,Elantra,2012
8998,90000,47779,McKenna, WA,KMHDC8AE2BU118432,Hyundai,Elantra,2011
6495,90000,63207,Virginia Beach, VA,KMHDC8AE5BU102910,Hyundai,Elantra,2011
9494,90000,42105,Winter Park, FL,KMHDC8AE8BU090085,Hyundai,Elantra,2011
11370,80000,17704,St. Petersburg, FL,KMHDB8AE2CU140502,Hyundai,Elantra,2012
8995,100000,36591,Valdese, NC,KMHDB8AE0AU081480,Hyundai,Elantra,2010
11922,80000,25956,Milledgeville, GA,KMHDC8AE3CU147696,Hyundai,Elantra,2012
8950,80000,46587,Plano, TX,KMHDC8AE5CU155394,Hyundai,Elantra,2012
8498,80000,64512,Albany, NY,KMHDC8AE8CU131929,Hyundai,Elantra,2012
6555,90000,99257,Boise, ID,KMHDC8AE3BU125681,Hyundai,Elantra,2011
7983,100000,57431,Delray Beach, FL,KMHDC8AEXAU074047,Hyundai,Elantra,2010
8250,100000,51465,Keene, NH,KMHDC8AE8AU084138,Hyundai,Elantra,2010
7995,90000,48785,Graham, NC,KMHDB8AE5BU092508,Hyundai,Elantra,2011
8877,80000,67899,Clearwater, FL,KMHDB8AE8CU150323,Hyundai,Elantra,2012
10288,80000,35725,Painesville, OH,KMHDB8AE1CU144184,Hyundai,Elantra,2012
7291,100000,70875,Lewisville, TX,KMHDC8AE0AU063199,Hyundai,Elantra,2010
9000,80000,62074,San Leandro, CA,KMHDC8AE5CU138935,Hyundai,Elantra,2012
6995,40000,18859,Houston, TX,KMHD35LH7GU317215,Hyundai,Elantra,2016
7793,90000,78303,Gaithersburg, MD,KMHDC8AE7BU126025,Hyundai,Elantra,2011
8888,90000,50871,Bennington, VT,KMHDC8AE9BU105869,Hyundai,Elantra,2011
9000,90000,66581,Columbus, OH,KMHDC8AE7BU097805,Hyundai,Elantra,2011
10888,80000,33713,North Grafton, MA,KMHDC8AE1CU142500,Hyundai,Elantra,2012
11931,80000,31128,Latham, NY,KMHDC8AE4CU136741,Hyundai,Elantra,2012
7995,100000,63011,Countryside, IL,KMHDC8AEXAU059810,Hyundai,Elantra,2010
9990,80000,57246,Egg Harbor Township, NJ,KMHDC8AE6CU131914,Hyundai,Elantra,2012
6095,100000,79180,Houston, TX,KMHDC8AE0AU072727,Hyundai,Elantra,2010
7000,100000,69720,Union City, GA,KMHDC8AE1AU063387,Hyundai,Elantra,2010
8892,80000,81234,Matthews, NC,KMHDB8AE0CU127473,Hyundai,Elantra,2012
7899,90000,83255,St. Augustine, FL,KMHDC8AE5BU094577,Hyundai,Elantra,2011
8971,80000,74756,Columbia, CT,KMHDC8AE3CU156110,Hyundai,Elantra,2012
10850,90000,35250,Naugatuck, CT,KMHDB8AE5BU096249,Hyundai,Elantra,2011
8944,90000,75150,Raynham, MA,KMHDC8AE8BU095870,Hyundai,Elantra,2011
9995,80000,66165,Greensboro, NC,KMHDB8AE3CU140055,Hyundai,Elantra,2012
11395,80000,47993,Seekonk, MA,KMHDC8AEXCU142477,Hyundai,Elantra,2012
6884,100000,85488,Denton, TX,KMHDC8AE6AU073025,Hyundai,Elantra,2010
7900,100000,73178,Avon, IN,KMHDC8AE6AU056693,Hyundai,Elantra,2010
8995,90000,68763,Mahwah, NJ,KMHDC8AE1BU091322,Hyundai,Elantra,2011
7999,70000,31586,Hialeah, FL,KMHDH6AE0DU006768,Hyundai,Elantra,2013
9799,100000,47680,Bel Air, MD,KMHDB8AE9AU081607,Hyundai,Elantra,2010
7495,100000,72295,Portsmouth, NH,KMHDC8AE1AU055953,Hyundai,Elantra,2010
10695,80000,52462,St. Louis, MO,KMHDC8AE7CU147202,Hyundai,Elantra,2012
9900,100000,46192,Eden Prairie, MN,KMHDC8AE7AU073003,Hyundai,Elantra,2010
6999,90000,115498,Bremerton, WA,KMHDB8AE6BU088502,Hyundai,Elantra,2011
7895,100000,73186,Santa Ana, CA,KMHDC8AE6AU064731,Hyundai,Elantra,2010
6990,100000,84445,Dallas, TX,KMHDC8AE7AU065905,Hyundai,Elantra,2010
7985,90000,78940,Flemington, NJ,KMHDC8AE9BU101689,Hyundai,Elantra,2011
6991,100000,90985,Des Plaines, IL,KMHDC8AE2AU072342,Hyundai,Elantra,2010
9798,60000,45526,Hingham, MA,KMHDH6AH5EU025571,Hyundai,Elantra,2014
9202,90000,70318,Bristol, CT,KMHDC8AE1BU097086,Hyundai,Elantra,2011
10999,70000,14543,Schenectady, NY,KMHDH6AE4DU019538,Hyundai,Elantra,2013
10990,90000,68643,Mequon, WI,KMHDC8AE5BU096717,Hyundai,Elantra,2011
10000,100000,49313,Fairfax, VA,KMHDB8AE9AU078934,Hyundai,Elantra,2010
5472,100000,110561,Manchester, NH,KMHDB8AEXAU054156,Hyundai,Elantra,2010
7980,90000,85939,Freeport, NY,KMHDC8AE2BU096996,Hyundai,Elantra,2011
5999,100000,103616,West Chicago, IL,KMHDC8AE9AU077926,Hyundai,Elantra,2010
9999,90000,64346,Pensacola, FL,KMHDC8AE0BU117537,Hyundai,Elantra,2011
11000,60000,31388,Mt Pleasant, WI,KMHDH6AH1EU028483,Hyundai,Elantra,2014
10485,60000,26203,South Gate, CA,KMHDH6AH3EU029215,Hyundai,Elantra,2014
10295,90000,61229,Indianapolis, IN,KMHDC8AE3BU108086,Hyundai,Elantra,2011
11481,60000,30122,Cortlandt Manor, NY,KMHDH6AH3EU026086,Hyundai,Elantra,2014
9795,100000,60022,Savannah, GA,KMHDC8AE5AU058046,Hyundai,Elantra,2010
6495,90000,112223,Topeka, KS,KMHDC8AE4BU108291,Hyundai,Elantra,2011
9500,60000,41000,Garland, TX,KMHDH6AH7EU025202,Hyundai,Elantra,2014
10974,70000,23520,Plantation, FL,KMHDH6AE7DU015340,Hyundai,Elantra,2013
11994,60000,21000,East Hartford, CT,KMHDH6AH7EU026480,Hyundai,Elantra,2014
7999,100000,94633,SEYMOUR, IN,KMHDC8AE1AU064426,Hyundai,Elantra,2010
11750,40000,23626,Sterling, VA,KMHD35LH9GU341614,Hyundai,Elantra,2016
10998,70000,46990,Honolulu, HI,KMHDH6AE4DU004599,Hyundai,Elantra,2013
11495,30000,12531,Jamaica, NY,KMHD35LH7HU369381,Hyundai,Elantra,2017
12592,70000,16400,Englewood, CO,KMHDH6AE7DU018156,Hyundai,Elantra,2013
13995,30000,5436,Brooklyn Center, MN,KMHD35LH9HU377188,Hyundai,Elantra,2017
12750,60000,20697,BROCKTON, MA,KMHDH6AH4EU025531,Hyundai,Elantra,2014
11299,40000,7680,Boise, ID,KMHD35LH8GU323153,Hyundai,Elantra,2016
9998,70000,40744,York, PA,KMHDH6AE6DU019394,Hyundai,Elantra,2013
6550,70000,39265,Phoenix, AZ,KMHD35LE3DU046445,Hyundai,Elantra,2013
8902,90000,89920,Avenel, NJ,KMHDC8AE7BU096640,Hyundai,Elantra,2011
10750,70000,51147,Virginia Beach, VA,KMHDH6AE4DU016591,Hyundai,Elantra,2013
10695,40000,15467,Doral, FL,KMHD35LH2GU255691,Hyundai,Elantra,2016
11995,60000,35847,El Paso, TX,KMHDH6AH2EU028167,Hyundai,Elantra,2014
5990,90000,122240,Dallas, TX,KMHDC8AE9BU111221,Hyundai,Elantra,2011
9263,70000,47127,Towanda, PA,KMHDH6AE8DU016495,Hyundai,Elantra,2013
6496,100000,109930,Phoenix, AZ,KMHDC8AEXAU063307,Hyundai,Elantra,2010
12500,60000,23925,Denville, NJ,KMHDH6AH8EU028870,Hyundai,Elantra,2014
8497,70000,53762,Van Buren, AR,KMHDH6AE2DU015634,Hyundai,Elantra,2013
11499,70000,31060,South Charleston, WV,KMHDH6AE7DU015306,Hyundai,Elantra,2013
9995,70000,35892,Fuquay Varina, NC,KMHDH6AEXDU003523,Hyundai,Elantra,2013
13899,30000,255,Morrow, GA,KMHD35LH4HU354627,Hyundai,Elantra,2017
9795,70000,38799,Doral, FL,KMHDH6AE8DU006968,Hyundai,Elantra,2013
9895,70000,47800,Hamburg, PA,KMHDH6AEXDU012643,Hyundai,Elantra,2013
13900,60000,12453,Middletown, RI,KMHDH6AH0EU028829,Hyundai,Elantra,2014
9735,60000,49666,Atlanta, GA,KMHDH6AH4EU023911,Hyundai,Elantra,2014
11933,60000,40302,Fredericksburg, VA,KMHDH6AH5EU029281,Hyundai,Elantra,2014
11995,40000,4956,Doral, FL,KMHD35LH3GU337736,Hyundai,Elantra,2016
11812,70000,26154,Auburn, WA,KMHDH6AE0DU018452,Hyundai,Elantra,2013
13200,40000,17290,Tulsa, OK,KMHD35LH7GU304027,Hyundai,Elantra,2016
11750,70000,17926,Lawrence, KS,KMHDH6AE5DU014459,Hyundai,Elantra,2013
9150,70000,49421,Raleigh, NC,KMHDH6AE8DU020000,Hyundai,Elantra,2013
11990,60000,39301,Kansas City, MO,KMHDH6AH3EU026508,Hyundai,Elantra,2014
14994,30000,5857,San Antonio, TX,KMHD35LH7HU370157,Hyundai,Elantra,2017
11995,60000,35238,Broken Arrow, OK,KMHDH6AHXEU024853,Hyundai,Elantra,2014
13825,60000,15616,Philadelphia, PA,KMHDH6AH0EU028765,Hyundai,Elantra,2014
9795,100000,75317,West Palm Beach, FL,KMHDC8AE8AU069638,Hyundai,Elantra,2010
9965,70000,53709,Fredericksburg, VA,KMHDH6AEXDU006938,Hyundai,Elantra,2013
